Common name, Scientific name,Extinction date,Decades,Range,Continent,Category
Giant aye-aye,Daubentonia robusta,1000 AD,1000s,Madagascar,Africa,Mammals
Malagasy hippopotamus,Hippopotamus sp.,1000 AD,1000s,Madagascar,Africa,Mammals
Microgale macpheei,Type of shrew tenrec,100 AD,100s,Madagascar,Africa,Mammals
Voay robustus,,100 AD,100s,Madagascar,Africa,Reptiles
Giant fossa,Cryptoprocta spelea,Before 1400,1300s,Madagascar,Africa,Mammals
Archaeoindris,,Before 1500,1400s,Madagascar,Africa,Mammals
Archaeolemur,,Before 1500,1400s,Madagascar,Africa,Mammals
Babakotia,,Before 1500,1400s,Madagascar,Africa,Mammals
Hadropithecus,,Before 1500,1400s,Madagascar,Africa,Mammals
Lava mouse,Malpaisomys insularis,Before 1500,1400s,Spain (Canary Islands),Africa,Mammals
Mesopropithecus,,Before 1500,1400s,Madagascar,Africa,Mammals
Canary Islands giant rat,Canariomys bravoi and Canariomys tamarani,Before 1500,1400s,Spain (Canary Islands),Africa,Mammals
Koala lemur,Megaladapis sp.,1420 AD,1420s,Madagascar,Africa,Mammals
Large sloth lemur,Palaeopropithecus sp.,1500s,1500s,Madagascar,Africa,Mammals
Ascension night heron,Nycticorax olsoni,1600s,1500s,United Kingdom (Ascension),Africa,Birds
Elephant bird,"Aepyornis, Mullerornis sp. Vorombe titan",1600s,1500s,Madagascar,Africa,Birds
Saint Helena dove,Dysmoropelia dekarchiskos,After 1502,1500s,United Kingdom (Saint Helena),Africa,Birds
Saint Helena rail,Porzana astrictocarpus,After 1502,1500s,United Kingdom (Saint Helena),Africa,Birds
Small Saint Helena petrel,Bulweria bifax,After 1502,1500s,United Kingdom (Saint Helena),Africa,Birds
Saint Helena hoopoe,Upupa antaios,Early 16th century,1500s,United Kingdom (Saint Helena),Africa,Birds
Mauritian giant skink,,1600,1600s,Leiolopisma mauritiana,Africa,Reptiles
Large Saint Helena petrel,Pseudobulweria rupinarum,Early 16th century,1600s,United Kingdom (Saint Helena),Africa,Birds
